NIMSPContributorID	NIMSPContributorName	CRPOrgID	CRPOrgName	NIMSPTotalDollars	CRPTotalDollars	CombinedTotalDollars	NIMSPIndustryName
4730	AUBURN RANCHERIA	D000045236	United Auburn Indian Community	13123084.82	2950	13126034.82	Tribal Governments
1020	UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION	D000000072	United Food & Commercial Workers Union	10713916.46	2348144	13062060.46	General Trade Unions
3068	ALTRIA	D000000067	Altria Group	11322517.34	1500041	12822558.34	Tobacco companies & tobacco product sales
4807	CALIFORNIA DEMOCRATIC PARTY	D000025368	CALIFORNIA DEMOCRATIC PARTY	12355251.88	0	12355251.88	Party Committees
136	AMERICAN FEDERATION OF TEACHERS	D000000083	American Federation of Teachers	8977674.66	3006923	11984597.66	Public Sector Unions
142	AMERICAN HOSPITAL ASSOCIATION	D000000116	American Hospital Assn                  	9287326.95	2505011	11792337.95	Hospitals & Nursing Homes
14586	NO ON 8 EQUALITY CALIFORNIA			11224567.99	0	11224567.99	Gay/Lesbian Rights & Issues
4350	UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPE FITTING INDUSTRY	D000000120	Plumbers/Pipefitters Union	8660689.69	2529609	11190298.69	General Trade Unions
214	APOLLO GROUP	D000021846	Apollo Group	10781672.84	388828	11170500.84	Education
982	INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS	D000000135	International Assn of Fire Fighters	7237271.77	3375750	10613021.77	Public Sector Unions
4969	REPUBLICAN GOVERNORS ASSOCIATION	D000021051	Republican Governors Assn	10447845	2400	10450245	Party Committees
3307	UNITED BROTHERHOOD OF CARPENTERS & JOINERS	D000000073	Carpenters & Joiners Union	7877812.29	2385901	10263713.29	General Trade Unions
5768	AMERISTAR CASINOS	D000044646	Ameristar Casinos	9940339.5	7030	9947369.5	Gambling & Casinos
17350	AMERICAN DENTAL ASSOCIATION	D000000105	American Dental Assn                    	7102686.63	2435140	9537826.63	Health Professionals
2073	PLANNED PARENTHOOD	D000000591	Planned Parenthood	8794527.42	707015	9501542.42	Health Services
11400	COUNCIL OF ALASKA PRODUCERS			8850000	0	8850000	Mining
4201	INTERNATIONAL UNION OF OPERATING ENGINEERS	D000000139	Operating Engineers Union	5952672.43	2869192	8821864.43	General Trade Unions
2566	INTERNATIONAL BROTHERHOOD OF TEAMSTERS	D000000066	Teamsters Union	5722782.63	2850826	8573608.63	Transportation Unions
14409	NATIONAL BEER WHOLESALERS ASSOCIATION	D000000101	National Beer Wholesalers Assn	4918660.92	3238050	8156710.92	Beer, Wine & Liquor
8480	PINNACLE ENTERTAINMENT	D000036698	Pinnacle Entertainment	7761000	9850	7770850	Gambling & Casinos
4874	NORTH CAROLINA DEMOCRATIC PARTY	D000033126	NORTH CAROLINA DEMOCRATIC PARTY	7277625.71	0	7277625.71	Party Committees
2218	REYNOLDS AMERICAN	D000000092	Reynolds American	6363579.62	888230	7251809.62	Tobacco companies & tobacco product sales
4905	OHIO HOUSE REPUBLICAN CAMPAIGN CMTE			7202207.62	0	7202207.62	Party Committees
141	AMERICAN HEALTH CARE ASSOCIATION	D000000192	American Health Care Assn	5733455.74	1332550	7066005.74	Hospitals & Nursing Homes
2538	SYCUAN BAND OF THE KUMEYAAY NATION	D000023654	Sycuan Band of the Kumeyaay Nation	6641857	419345	7061202	Tribal Governments
50	AFL-CIO	D000000088	AFL-CIO	5428208.13	1392108	6820316.13	General Trade Unions
4901	SENATE REPUBLICAN CAMPAIGN CMTE OF NEW YORK			6563046.42	0	6563046.42	Party Committees
1130	GOLDMAN SACHS	D000000085	Goldman Sachs	440485	6075376	6515861	Securities & Investment
4909	OHIO DEMOCRATIC PARTY	D000044796	OHIO DEMOCRATIC PARTY	6432825.97	0	6432825.97	Party Committees
644	COMCAST	D000000461	Comcast Corp	2893941.85	3502852	6396793.85	Telecom Services & Equipment
272	UNITED AUTOMOBILE AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA	D000000070	United Auto Workers	4052878.58	2297437	6350315.58	Transportation Unions
3902	JP MORGAN CHASE & CO	D000000103	JPMorgan Chase & Co	1113876.38	5214200	6328076.38	Miscellaneous Finance, Insurance & Real Estate
592	CITIGROUP	D000000071	Citigroup Inc	1200672.37	5118137	6318809.37	Miscellaneous Finance, Insurance & Real Estate
8677	REPUBLICAN STATE LEADERSHIP CMTE			6292500.58	0	6292500.58	Party Committees
781	DEMOCRATIC GOVERNORS ASSOCIATION	D000000701	Democratic Governor's Assn              	6113860.3	30750	6144610.3	Party Committees
4806	CALIFORNIA REPUBLICAN PARTY	D000024567	Republican Party of California	6062820.54	1500	6064320.54	Party Committees
16355	TAUBMAN CENTERS	D000030291	Taubman Centers	6004973.98	2300	6007273.98	Real Estate
298	BANK OF AMERICA	D000000090	Bank of America	2454886.65	3503702	5958588.65	Commercial Banks
11192	COALITION TO PROTECT CALIFORNIAS BUDGET			5900000	0	5900000	Gambling & Casinos
10280	BAY MEADOWS LAND CO	D000044672	Bay Meadows Land Co	5891553.9	2300	5893853.9	Gambling & Casinos
7501	LEAGUE OF CALIFORNIA CITIES	D000044967	League of California Cities	5762847.37	3950	5766797.37	Civil Servants/Public Officials
2741	VERIZON	D000000079	Verizon Communications	2538188.79	2898269	5436457.79	Telecom Services & Equipment
2612	TIME WARNER	D000000094	Time Warner	2132836.84	3255038	5387874.84	TV & Movie Production/Distribution
2772	WAL-MART	D000000367	Wal-Mart Stores	3092884.68	2170776	5263660.68	Retail Sales
207	ANHEUSER-BUSCH	D000042510	Anheuser-Busch InBev	3054764.66	2177088	5231852.66	Beer, Wine & Liquor
4920	PENNSYLVANIA REPUBLICAN PARTY	D000028670	PENNSYLVANIA REPUBLICAN PARTY	5109083.5	0	5109083.5	Party Committees
1725	MICROSOFT	D000000115	Microsoft Corp	1473222.98	3590741	5063963.98	Computer Equipment & Services
904	EMILYS LIST	D000000113	EMILY's List	1858646.31	3197055	5055701.31	Pro-Choice
11632	DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY			5005091.42	0	5005091.42	Party Committees
14160	MICHIGAN CATHOLIC CONFERENCE			5000700	0	5000700	Christian Conservative
10229	BARBOUR FOR GOVERNOR			4907559.97	0	4907559.97	Candidate Committees
3394	CHESAPEAKE ENERGY	D000021908	Chesapeake Energy	4422653.91	480771	4903424.91	Oil & Gas
2362	SHEET METAL WORKERS INTERNATIONAL ASSOCIATION	D000000097	Sheet Metal Workers Union	2145457.35	2757637	4903094.35	General Trade Unions
3286	CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION	D000044707	Calif Correctional Peace Officers Assn	4810228.7	12564	4822792.7	Public Sector Unions
4947	VIRGINIA DEMOCRATIC PARTY	D000044800	Democratic Party of Virginia	4732281.82	739	4733020.82	Party Committees
2710	UPS	D000000081	United Parcel Service	1594693.7	3132717	4727410.7	Air Transport
1084	GENERAL ELECTRIC	D000000125	General Electric	728228.8	3949059	4677287.8	Miscellaneous Manufacturing & Distributing
4924	PENNSYLVANIA DEMOCRATIC PARTY	D000044798	PENNSYLVANIA DEMOCRATIC PARTY	4657484.53	0	4657484.53	Party Committees
255	ASSOCIATED GENERAL CONTRACTORS	D000000197	Associated General Contractors	3632221.62	996025	4628246.62	General Contractors
650	COMMUNICATIONS WORKERS OF AMERICA	D000000075	Communications Workers of America	2221817.43	2404311	4626128.43	General Trade Unions
7134	HUMANE SOCIETY OF THE UNITED STATES	D000026546	Humane Society of the US	4540926.14	36225	4577151.14	Animal Rights
13117	INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA	D000000181	Indep Insurance Agents & Brokers/America	2976651.02	1590500	4567151.02	Insurance
1517	LEAGUE OF CONSERVATION VOTERS	D000000288	League of Conservation Voters	4044476.74	463939	4508415.74	Pro-Environmental Policy
1276	HUMAN RIGHTS CAMPAIGN	D000000158	Human Rights Campaign	3144026.04	1302939	4446965.04	Gay/Lesbian Rights & Issues
566	CHEVRON CORP	D000000015	Chevron Corp	3295486.16	1074017	4369503.16	Oil & Gas
4923	HOUSE DEMOCRATIC CAMPAIGN CMTE OF PENNSYLVANIA			4345451.9	0	4345451.9	Party Committees
4948	VIRGINIA SENATE DEMOCRATIC CAUCUS			4333529.58	0	4333529.58	Party Committees
1828	NATIONAL CABLE & TELECOMMUNICATIONS ASSOCIATION	D000022131	National Cable & Telecommunications Assn	2468062.96	1864123	4332185.96	Telecom Services & Equipment
15038	PERRY HOMES	D000022184	Perry Homes	4170150	158750	4328900	Home Builders
2034	PFIZER	D000000138	Pfizer Inc	2015078.3	2212642	4227720.3	Pharmaceuticals & Health Products
4890	SENATE DEMOCRATIC MAJORITY OF NEW JERSEY			4180188	0	4180188	Party Committees
4908	HOUSE DEMOCRATIC CAUCUS FUND OF OHIO			4169239.42	0	4169239.42	Party Committees
160	AMERICAN OPTOMETRIC ASSOCIATION	D000000194	American Optometric Assn	2522403.1	1626284	4148687.1	Health Professionals
4921	SENATE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA			4095787.49	0	4095787.49	Party Committees
1769	MORGAN STANLEY	D000000106	Morgan Stanley	113289.68	3835635	3948924.68	Securities & Investment
1352	INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS	D000000140	Ironworkers Union	1820777.02	2079200	3899977.02	General Trade Unions
2467	STATE FARM MUTUAL AUTOMOBILE INSURANCE	D000000659	State Farm Insurance	3308705.84	563419	3872124.84	Insurance
13304	JOHN TEMPLETON FOUNDATION	D000000775	John Templeton Foundation	3703300	150400	3853700	Christian Conservative
4919	HOUSE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA			3808452	0	3808452	Party Committees
1039	FPL GROUP	D000000321	FPL Group	2750690.85	1053349	3804039.85	Electric Utilities
9195	THE NATURE CONSERVANCY	D000036134	Nature Conservancy	3689539.84	112957	3802496.84	Pro-Environmental Policy
0		D000000087	American Bankers Assn	0	3784361	3784361	Commercial Banks
1821	NATIONAL ASSOCIATION OF HOME BUILDERS	D000000086	National Assn of Home Builders	669052.29	3055125	3724177.29	Home Builders
4907	REPUBLICAN SENATE CAMPAIGN CMTE OF OHIO			3687087.06	0	3687087.06	Party Committees
435	BURLINGTON NORTHERN SANTA FE RAILWAY	D000000195	Burlington Northern Santa Fe Corp	1454070.31	2168360	3622430.31	Railroads
133	AMERICAN FARM BUREAU	D000021832	American Farm Bureau	2892194	710096	3602290	Farm Bureau
109	AMERICAN ASSOCIATION FOR JUSTICE	D000000065	American Assn for Justice	173000	3420090	3593090	Lawyers & Lobbyists
958	FARMERS INSURANCE GROUP	D000033592	Farmers Insurance	3511200.29	56437	3567637.29	Insurance
4956	WASHINGTON STATE DEMOCRATIC PARTY	D000025419	WASHINGTON STATE DEMOCRATIC PARTY	3559183.62	0	3559183.62	Party Committees
1559	LOCKHEED MARTIN	D000000104	Lockheed Martin	387501.85	3169911	3557412.85	Defense Aerospace
253	ASSOCIATED BUILDERS & CONTRACTORS	D000000187	Associated Builders & Contractors	1635225.42	1918450	3553675.42	General Contractors
3627	FEDERAL EXPRESS	D000000089	FedEx Corp	1004685.92	2547010	3551695.92	Air Transport
14425	NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION	D000000153	National Rural Electric Cooperative Assn	1754408.83	1789600	3544008.83	Electric Utilities
4825	IOWA DEMOCRATIC PARTY	D000026676	IOWA DEMOCRATIC PARTY	3532606.58	0	3532606.58	Party Committees
1457	KOCH INDUSTRIES	D000000186	Koch Industries	981864.46	2545564	3527428.46	Chemical & Related Manufacturing
4834	INDIANA HOUSE DEMOCRATIC CAUCUS			3500849.23	0	3500849.23	Party Committees
376	BLUE CROSS BLUE SHIELD	D000000109	Blue Cross/Blue Shield	105251.86	3345172	3450423.86	Insurance
1009	FLORIDA REPUBLICAN PARTY	D000037046	Republican Party of Florida	3389642.01	42450	3432092.01	Party Committees
773	DELOITTE TOUCHE TOHMATSU	D000000131	Deloitte Touche Tohmatsu	292890	3129385	3422275	Accountants
385	BOEING CO	D000000100	Boeing Co	764420.85	2623382	3387802.85	Air Transport
2675	UNION PACIFIC RAILROAD	D000000118	Union Pacific Corp	1359995.15	2022008	3382003.15	Railroads
2344	SEMPRA ENERGY	D000000415	Sempra Energy	3144550	224800	3369350	Electric Utilities
14434	NEA AFT			3359242.6	0	3359242.6	Public Sector Unions
11232	COLORADANS FOR ECONOMIC GROWTH	D000025035	COLORADANS FOR ECONOMIC GROWTH	3351958.07	0	3351958.07	Other/Single Issue Groups
16706	UBS FINANCIAL SERVICES	D000020995	UBS AG	30475.35	3320389	3350864.35	Miscellaneous Finance
2104	PRICEWATERHOUSECOOPERS	D000000124	PricewaterhouseCoopers	298622	3052071	3350693	Miscellaneous Finance
4830	ILLINOIS DEMOCRATIC PARTY	D000044795	Democratic Party of Illinois	3319723.22	250	3319973.22	Party Committees
4675	TEXANS FOR LAWSUIT REFORM			3317614.74	0	3317614.74	Business Associations
1265	HONEYWELL INTERNATIONAL	D000000334	Honeywell International	67271	3239778	3307049	Miscellaneous Manufacturing & Distributing
4039	INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS	D000000078	Machinists/Aerospace Workers Union	389415	2911733	3301148	General Trade Unions
14851	OVERSTOCK.COM	D000036441	Overstock.Com	3246135	54350	3300485	Retail Sales
0		D000000080	National Auto Dealers Assn	0	3254500	3254500	Automotive
4226	INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES	D000000250	Painters & Allied Trades Union	1867280.22	1387177	3254457.22	General Trade Unions
7123	HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA	D000044923	Indiana House Republican Campaign Cmte	3216820.47	300	3217120.47	Party Committees
16448	TEXAS DEMOCRATIC TRUST	D000045216	Texas Democratic Trust	3184755	12550	3197305	Liberal Policy Organization
5763	AMERICAN STERLING CORP	D000031506	American Sterling	3191057.26	4400	3195457.26	Banks & Lending Institutions
12953	HOUSE DEMOCRATIC CAUCUS			3166046.04	0	3166046.04	Party Committees
4752	WACHOVIA BANK	D000021573	Wachovia Corp	706873.59	2454055	3160928.59	Commercial Banks
17326	AMERICAN NURSES ASSOCIATION	D000000173	American Nurses Assn                    	2429468.7	730391	3159859.7	Health Professionals
1629	MARIJUANA POLICY PROJECT	D000027382	Marijuana Policy Project	3046987.96	107130	3154117.96	Other/Single Issue Groups
1710	MERRILL LYNCH	D000000108	Merrill Lynch	170847.8	2950641	3121488.8	Securities & Investment
16210	STOCKBRIDGE REAL ESTATE FUND	D000045201	Stockbridge Real Estate Funds	3100000	3600	3103600	Gambling & Casinos
946	EXXONMOBIL	D000000129	Exxon Mobil	1678028.96	1423764	3101792.96	Oil & Gas
16751	UNIVERSITY OF CALIFORNIA DEPARTMENT OF HEALTH SERVICES	D000000406	University of California	14610	3075702	3090312	Education
9293	US TERM LIMITS			3066000	0	3066000	Term Limits
15825	SCHWARZENEGGERS CALIFORNIA DREAM TEAM			3062287	0	3062287	Candidate Committees
14347	MOVING VIRGINIA FORWARD	D000045021	Moving Virginia Forward	3060706.29	1000	3061706.29	Liberal Policy Organization
7618	MAGNA ENTERTAINMENT CORP	D000044988	Magna Entertainment	3043695.64	2250	3045945.64	Gambling & Casinos
4829	REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS			3039067.93	0	3039067.93	Party Committees
720	CREDIT UNION NATIONAL ASSOCIATION	D000000136	Credit Union National Assn	147779	2869389	3017168	Credit Unions
15569	ROBERT WILSON ASSOCIATES			3000000	0	3000000	Securities & Investment
3615	EXELON	D000000368	Exelon Corp	1440901.54	1536167	2977068.54	Electric Utilities
900	ELI LILLY & CO	D000000166	Eli Lilly & Co	1728727.6	1237328	2966055.6	Pharmaceuticals & Health Products
1116	GLAXOSMITHKLINE	D000000133	GlaxoSmithKline	1347976.38	1605700	2953676.38	Pharmaceuticals & Health Products
4824	IOWA REPUBLICAN PARTY	D000045134	Republican Party of Iowa	2935576.78	565	2936141.78	Party Committees
3053	AKIN GUMP STRAUSS HAUER & FELD	D000000162	Akin, Gump et al	306843.1	2602753	2909596.1	Lawyers & Lobbyists
4906	OHIO REPUBLICAN PARTY	D000037049	Republican Party of Ohio	2895280.07	10183	2905463.07	Party Committees
1806	NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION	D000000285	National Air Traffic Controllers Assn	21000	2875033	2896033	Transportation Unions
62	AIR LINE PILOTS ASSOCIATION	D000000117	Air Line Pilots Assn	23100	2844330	2867430	Transportation Unions
608	CLUB FOR GROWTH	D000000763	Club for Growth	39528.56	2815730	2855258.56	Other/Single Issue Groups
4833	INDIANA DEMOCRATIC PARTY	D000025380	Democratic Party of Indiana	2823154.15	300	2823454.15	Party Committees
117	AMERICAN CIVIL LIBERTIES UNION	D000031473	American Civil Liberties Union	2720832.92	49045	2769877.92	Other/Single Issue Groups
1885	NEW YORK LIFE INSURANCE	D000000249	New York Life Insurance	186417.67	2576727	2763144.67	Insurance
7991	NATIONAL ASSOCIATION OF INSURANCE & FINANCIAL ADVISORS	D000000096	Natl Assn/Insurance & Financial Advisors	942385.72	1815950	2758335.72	Insurance
5761	AMERICAN SOCIETY OF ANESTHESIOLOGISTS	D000000199	American Society of Anesthesiologists	1023634	1728400	2752034	Health Professionals
931	ERNST & YOUNG	D000000098	Ernst & Young	193993.1	2550827	2744820.1	Accountants
8535	POLICE BENEVOLENT ASSOCIATION			2738042.1	0	2738042.1	Public Sector Unions
668	CONOCOPHILLIPS	D000000303	ConocoPhillips	2032200.16	696346	2728546.16	Oil & Gas
2692	UNITEDHEALTH GROUP	D000000348	UnitedHealth Group	1079712.12	1632418	2712130.12	Health Services
17352	CREDIT SUISSE	D000000134	Credit Suisse Group	9095.5	2698649	2707744.5	Securities & Investment
95	ALLSTATE INSURANCE	D000000632	Allstate Insurance	2270093.61	429250	2699343.61	Insurance
2818	WELLS FARGO	D000019743	Wells Fargo	761326.44	1850038	2611364.44	Commercial Banks
1905	NORTHROP GRUMMAN	D000000170	Northrop Grumman	304117.83	2298508	2602625.83	Defense Aerospace
812	DLA PIPER	D000021569	DLA Piper	105988	2483446	2589434	Lawyers & Lobbyists
14243	MISSISSIPPI REPUBLICAN PARTY	D000037048	MISSISSIPPI REPUBLICAN PARTY	2588291.43	0	2588291.43	Party Committees
4904	NEW YORK STATE DEMOCRATIC PARTY	D000025400	NEW YORK STATE DEMOCRATIC PARTY	2580394.76	0	2580394.76	Party Committees
4862	DFL HOUSE CAUCUS OF MINNESOTA			2572537.95	0	2572537.95	Party Committees
3077	AFLAC	D000000126	AFLAC Inc	350890	2211030	2561920	Insurance
7102	HOME BUILDERS ASSOCIATION OF CENTRAL ARIZONA	D000020386	HOME BUILDERS ASSOC OF CENTRAL ARIZONA	2556066	0	2556066	Home Builders
4265	PHRMA	D000000504	Pharmaceutical Rsrch & Mfrs of America	2211926.01	341560	2553486.01	Pharmaceuticals & Health Products
2779	WALT DISNEY	D000000128	Walt Disney Co                          	992654.84	1540283	2532937.84	TV & Movie Production/Distribution
10477	BOEHNER, FRIENDS OF JOHN	D000033869	Friends of John Boehner	3500	2529341	2532841	Conservative Policy Organization
2175	RAYTHEON	D000000175	Raytheon Co	274979.28	2254186	2529165.28	Defense Electronics
11235	COLORADO BUSINESSES FOR SENSIBLE SOLUTIONS			2495500	0	2495500	Business Associations
15157	POIZNER FAMILY TRUST	D000045111	Poizner Family Trust	2370971	111200	2482171	Republican Officials, Candidates & Former Members
7313	JOHNSON & JOHNSON SERVICES	D000000386	Johnson & Johnson	968295.57	1479547	2447842.57	Pharmaceuticals & Health Products
1355	ISLE OF CAPRI CASINO	D000026698	Isle of Capri Casinos	2409652.66	15200	2424852.66	Gambling & Casinos
2381	SIERRA CLUB	D000000259	Sierra Club	1979502.75	440088	2419590.75	Pro-Environmental Policy
4965	DEMOCRATIC LEGISLATIVE CAMPAIGN CMTE	D000021031	Democratic Legislative Campaign Cmte	2402010.72	12750	2414760.72	Party Committees
16041	SOROS FUND MANAGEMENT	D000000306	Soros Fund Management	1937000	465506	2402506	Miscellaneous Finance
13474	KNIGHTS OF COLUMBUS	D000044955	Knights of Columbus	2373246.38	3600	2376846.38	Clergy
4889	NEW JERSEY DEMOCRATIC PARTY	D000025398	NEW JERSEY DEMOCRATIC PARTY	2372552.65	0	2372552.65	Party Committees
194	AMGEN	D000000391	Amgen Inc	621215.08	1745139	2366354.08	Pharmaceuticals & Health Products
138	AMERICAN FINANCIAL GROUP	D000000121	American Financial Group	1346760	996411	2343171	Insurance
12521	GOOGLE	D000022008	Google Inc	484956.82	1832782	2317738.82	Computer Equipment & Services
2691	UNITED TRANSPORTATION UNION	D000000107	United Transportation Union	794162.51	1505057	2299219.51	Transportation Unions
0		D000022032	Hoyer for Congress	0	2298500	2298500	Candidate Committees
1702	MERCK & CO	D000000275	Merck & Co	1026628.83	1244391	2271019.83	Pharmaceuticals & Health Products
4842	KENTUCKY DEMOCRATIC PARTY	D000025384	Democratic Party of Kentucky	2262755.37	2300	2265055.37	Party Committees
1524	LEHMAN BROTHERS	D000000174	Lehman Brothers	74780	2186381	2261161	Securities & Investment
1147	GREENBERG TRAURIG	D000000344	Greenberg Traurig LLP	493424.44	1729523	2222947.44	Lawyers & Lobbyists
0		D000045296	KPMG International	0	2208052	2208052	Uncoded
3840	HOSPITAL CORP OF AMERICA	D000000445	HCA Inc	1622176.78	535846	2158022.78	Hospitals & Nursing Homes
257	ASTRAZENECA	D000043112	AstraZeneca PLC	960562.13	1193917	2154479.13	Pharmaceuticals & Health Products
2725	VALERO ENERGY	D000022303	Valero Energy	1041645	1092372	2134017	Oil & Gas
2021	PEPSICO	D000000200	PepsiCo Inc	1457411.09	669056	2126467.09	Food Processing & Sales
130	AMERICAN ELECTRIC POWER	D000000573	American Electric Power	1268642.64	834498	2103140.64	Electric Utilities
12741	HARVARD UNIVERSITY	D000000544	Harvard University	60038.8	2033593	2093631.8	Education
4944	VIRGINIA REPUBLICAN PARTY	D000045140	Republican Party of Virginia	2057717.49	1606	2059323.49	Party Committees
11752	DOMINION LEADERSHIP TRUST			2052000	0	2052000	Leadership PACs
3480	DOMINION	D000000335	Dominion Resources	1207995.94	829059	2037054.94	Miscellaneous Energy
4828	ILLINOIS REPUBLICAN PARTY	D000045133	ILLINOIS REPUBLICAN PARTY	2035679.36	0	2035679.36	Party Committees
10085	ARCUS FOUNDATION	D000044657	Arcus Foundation	2028554.8	7050	2035604.8	Gay/Lesbian Rights & Issues
0		D000000165	General Dynamics	0	2029768	2029768	Defense Electronics
12346	FUTURE PAC HOUSE BUILDERS			2023164.06	0	2023164.06	Party Committees
856	DUKE ENERGY	D000000477	Duke Energy	1184809.65	829355	2014164.65	Miscellaneous Energy
13852	MADIGAN, FRIENDS OF MICHAEL J			2001837.62	0	2001837.62	Candidate Committees
2471	UNITED STEEL PAPER AND FORESTRY RUBBER MANUFACTURING ENERGY ALLIED INDUSTRIAL & SERVICE WORKERS INTERNATIONAL	D000000102	United Steelworkers	547082.54	1450090	1997172.54	General Trade Unions
0		D000021767	National Amusements Inc	0	1991190	1991190	Movie Theaters
4872	NORTH CAROLINA REPUBLICAN PARTY	D000036253	NORTH CAROLINA REPUBLICAN PARTY	1989799.56	0	1989799.56	Party Committees
14	ABBOTT LABORATORIES	D000000383	Abbott Laboratories	756641.81	1226906	1983547.81	Pharmaceuticals & Health Products
5750	AMERICAN CRYSTAL SUGAR CO	D000000219	American Crystal Sugar	10000	1954150	1964150	Crop Production & Basic Processing
15005	PENNSYLVANIA DEMOCRATIC STATE SENATE CAMPAIGN CMTE			1963375.2	0	1963375.2	Party Committees
0		D000021873	Blackstone Group	0	1946351	1946351	Securities & Investment
5757	AMERICAN MEDICAL ASSOCIATION	D000000068	American Medical Assn	40515	1900642	1941157	Health Professionals
590	CISCO SYSTEMS	D000000374	Cisco Systems	412409.44	1521590	1933999.44	Computer Equipment & Services
0		D000000662	WPP Group	0	1925135	1925135	Business Services
14564	NEWSWEB CORP	D000000351	Newsweb Corp	1794250	130750	1925000	TV & Movie Production/Distribution
14953	PATTON BOGGS	D000022176	Patton Boggs LLP	52750	1871144	1923894	Lawyers & Lobbyists
3260	INTERNATIONAL UNION OF BRICKLAYERS & ALLIED CRAFTWORKERS	D000000302	Bricklayers Union	817518.56	1104100	1921618.56	General Trade Unions
3250	BP AMERICA	D000000091	BP	1376921.16	536124	1913045.16	Oil & Gas
101	AMALGAMATED TRANSIT UNION	D000000203	Amalgamated Transit Union	920670	988284	1908954	Transportation Unions
4832	INDIANA REPUBLICAN PARTY	D000028642	INDIANA REPUBLICAN PARTY	1904167.25	0	1904167.25	Party Committees
1715	MGM MIRAGE	D000000193	MGM Mirage	576862.2	1323231	1900093.2	Gambling & Casinos
1233	HEWLETT PACKARD	D000000716	Hewlett-Packard	642698	1255314	1898012	Electronics Manufacturing & Services
14757	OLYMPIA GAMING MAINE LLC			1883355.68	0	1883355.68	Gambling & Casinos
4800	ALABAMA DEMOCRATIC PARTY	D000025362	ALABAMA DEMOCRATIC PARTY	1876927.22	0	1876927.22	Party Committees
